Index,TagID_Hex,PRI,TagID_Dec
1,2324,5,8996
2,238A,5,9098
3,23A2,5,9122
4,242E,5,9262
5,245E,5,9310
6,248E,5,9358
7,24C8,5,9416
8,24E8,5,9448
9,250E,5,9486
10,257C,5,9596
11,2584,5,9604
12,25C4,5,9668
13,25DE,5,9694
14,25F4,5,9716
15,25F6,5,9718
16,261A,5,9754
17,2664,5,9828
18,2666,5,9830
19,2668,5,9832
20,266C,5,9836
21,266E,5,9838
22,2672,5,9842
23,2674,5,9844
24,2676,5,9846
25,267A,5,9850
26,2682,5,9858
27,2684,5,9860
28,2686,5,9862
29,2688,5,9864
30,268C,5,9868
31,268E,5,9870
32,2690,5,9872
33,2698,5,9880
34,269C,5,9884
35,269E,5,9886
36,26A0,5,9888
37,26B0,5,9904
38,26B8,5,9912
39,26BC,5,9916
40,26C2,5,9922
41,26C8,5,9928
42,26CC,5,9932
43,26CE,5,9934
44,26D0,5,9936
45,26DC,5,9948
46,26DE,5,9950
47,26E2,5,9954
48,26E4,5,9956
49,26E6,5,9958
50,26EC,5,9964
51,26EE,5,9966
52,26F2,5,9970
53,26F4,5,9972
54,26F6,5,9974
55,26FA,5,9978
56,270A,5,9994
57,2712,5,10002
58,2714,5,10004
59,271A,5,10010
60,2724,5,10020
61,2726,5,10022
62,2728,5,10024
63,272C,5,10028
64,272E,5,10030
65,2732,5,10034
66,2734,5,10036
67,2736,5,10038
68,273A,5,10042
69,2744,5,10052
70,2746,5,10054
71,2748,5,10056
72,274E,5,10062
73,2750,5,10064
74,2758,5,10072
75,275E,5,10078
76,2762,5,10082
77,2764,5,10084
78,2766,5,10086
79,2768,5,10088
80,276C,5,10092
81,276E,5,10094
82,2772,5,10098
83,2774,5,10100
84,2776,5,10102
85,277A,5,10106
86,278A,5,10122
87,2792,5,10130
88,2794,5,10132
89,2796,5,10134
90,279A,5,10138
91,27A2,5,10146
92,27A4,5,10148
93,27A6,5,10150
94,27A8,5,10152
95,27AC,5,10156
96,27AE,5,10158
97,27B2,5,10162
98,27B4,5,10164
99,27B6,5,10166
100,27B8,5,10168
101,27BA,5,10170
102,27CA,5,10186
103,27D2,5,10194
104,27D4,5,10196
105,27D6,5,10198
106,27DA,5,10202
107,27EA,5,10218
108,280A,5,10250
109,2812,5,10258
110,2814,5,10260
111,2816,5,10262
112,281A,5,10266
113,2822,5,10274
114,2824,5,10276
115,2826,5,10278
116,2828,5,10280
117,282C,5,10284
118,282E,5,10286
119,2832,5,10290
120,2836,5,10294
121,283A,5,10298
122,2842,5,10306
123,2844,5,10308
124,2846,5,10310
125,2848,5,10312
126,284C,5,10316
127,284E,5,10318
128,2850,5,10320
129,2858,5,10328
130,285C,5,10332
131,285E,5,10334
132,2864,5,10340
133,2868,5,10344
134,286C,5,10348
135,286E,5,10350
136,2872,5,10354
137,2874,5,10356
138,2876,5,10358
139,287A,5,10362
140,2882,5,10370
141,2884,5,10372
142,2886,5,10374
143,2888,5,10376
144,288C,5,10380
145,288E,5,10382
146,2890,5,10384
147,2898,5,10392
148,289C,5,10396
149,289E,5,10398
150,28B0,5,10416
151,28BC,5,10428
152,28BE,5,10430
153,28C2,5,10434
154,28C6,5,10438
155,28C8,5,10440
156,28CC,5,10444
157,28CE,5,10446
158,28D0,5,10448
159,28D8,5,10456
160,28DC,5,10460
161,28DE,5,10462
162,28E2,5,10466
163,28E4,5,10468
164,28E6,5,10470
165,28E8,5,10472
166,28EC,5,10476
167,28EE,5,10478
168,28F2,5,10482
169,28F6,5,10486
170,28FA,5,10490
171,2902,5,10498
172,2904,5,10500
173,2906,5,10502
174,2908,5,10504
175,290C,5,10508
176,290E,5,10510
177,2918,5,10520
178,291C,5,10524
179,291E,5,10526
180,2920,5,10528
181,2930,5,10544
182,2938,5,10552
183,293C,5,10556
184,293E,5,10558
185,2940,5,10560
186,2960,5,10592
187,2970,5,10608
188,2978,5,10616
189,297C,5,10620
190,297E,5,10622
191,2982,5,10626
192,2984,5,10628
193,2986,5,10630
194,2988,5,10632
195,298C,5,10636
196,298E,5,10638
197,2990,5,10640
198,2998,5,10648
199,299C,5,10652
200,29A0,5,10656
201,29B0,5,10672
202,29B8,5,10680
203,2A06,5,10758
204,2A0C,5,10764
205,2A3E,5,10814
206,2B84,5,11140
207,2BC8,5,11208
208,2BFA,5,11258
209,2C12,5,11282
210,2C36,5,11318
211,2C82,5,11394
212,2C9C,5,11420
213,2CA0,5,11424
214,2D38,5,11576
215,2D8C,5,11660
216,2D8E,5,11662
217,2D90,5,11664
218,2D98,5,11672
219,2D9C,5,11676
220,2D9E,5,11678
221,2DA0,5,11680
222,2DB0,5,11696
223,2DB8,5,11704
224,2DBC,5,11708
225,2DBE,5,11710
226,2DC2,5,11714
227,2DC4,5,11716
228,2DC6,5,11718
229,2DC8,5,11720
230,2DCC,5,11724
231,2DCE,5,11726
232,2DD0,5,11728
233,2DD8,5,11736
234,2DDC,5,11740
235,2DDE,5,11742
236,2DE2,5,11746
237,2DE4,5,11748
238,2DE6,5,11750
239,2DE8,5,11752
240,2DEC,5,11756
241,2DEE,5,11758
242,2DF2,5,11762
243,2DF4,5,11764
244,2DF6,5,11766
245,2DFA,5,11770
246,2E0A,5,11786
247,2E12,5,11794
248,2E1A,5,11802
249,2E22,5,11810
250,2E24,5,11812
251,2E26,5,11814
252,2E28,5,11816
253,2E2C,5,11820
254,2E32,5,11826
255,2E34,5,11828
256,2E36,5,11830
257,2E3A,5,11834
258,2E42,5,11842
259,2E44,5,11844
260,2E46,5,11846
261,2E48,5,11848
262,2E4C,5,11852
263,2E4E,5,11854
264,2E50,5,11856
265,2E58,5,11864
266,2E5C,5,11868
267,2E5E,5,11870
268,2E62,5,11874
269,2E64,5,11876
270,2E66,5,11878
271,2E6C,5,11884
272,2E6E,5,11886
273,2E74,5,11892
274,2E76,5,11894
275,2E7A,5,11898
276,2E82,5,11906
277,2E84,5,11908
278,2E86,5,11910
279,2E8C,5,11916
280,2E8E,5,11918
281,2E90,5,11920
282,2E98,5,11928
283,2E9C,5,11932
284,2E9E,5,11934
285,2EA0,5,11936
286,2EB0,5,11952
287,2EB8,5,11960
288,2EBC,5,11964
289,2EBE,5,11966
290,2EC2,5,11970
291,2EC4,5,11972
292,2EC6,5,11974
293,2EC8,5,11976
294,2ECC,5,11980
295,2ECE,5,11982
296,2ED0,5,11984
297,2ED8,5,11992
298,2EDC,5,11996
299,2EDE,5,11998
300,2EE2,5,12002
301,2EE4,5,12004
302,2EE6,5,12006
303,2EE8,5,12008
304,2EEC,5,12012
305,2EEE,5,12014
306,2EF2,5,12018
307,2EF4,5,12020
308,2EF6,5,12022
309,2EFA,5,12026
310,2F0A,5,12042
311,2F12,5,12050
312,2F14,5,12052
313,2F16,5,12054
314,2F22,5,12066
315,2F24,5,12068
316,2F26,5,12070
317,2F28,5,12072
318,2F2C,5,12076
319,2F2E,5,12078
320,2F32,5,12082
321,2F34,5,12084
322,2F36,5,12086
323,2F3A,5,12090
324,2F42,5,12098
325,2F44,5,12100
326,2F46,5,12102
327,2F48,5,12104
328,2F4C,5,12108
329,2F4E,5,12110
330,2F50,5,12112
331,2F58,5,12120
332,2F5C,5,12124
333,2F5E,5,12126
334,2F62,5,12130
335,2F66,5,12134
336,2F68,5,12136
337,2F6C,5,12140
338,2F6E,5,12142
339,2F72,5,12146
340,2F74,5,12148
341,2F7A,5,12154
342,2F8A,5,12170
343,2F92,5,12178
344,2F94,5,12180
345,2F96,5,12182
346,2F9A,5,12186
347,2FA2,5,12194
348,2FA4,5,12196
349,2FA8,5,12200
350,2FAC,5,12204
351,2FAE,5,12206
352,2FB2,5,12210
353,2FB4,5,12212
354,2FB6,5,12214
355,2FBA,5,12218
356,2FCA,5,12234
357,2FD2,5,12242
358,2FD4,5,12244
359,2FD6,5,12246
360,2FDA,5,12250
361,2FEA,5,12266
362,302A,5,12330
363,304A,5,12362
364,3052,5,12370
365,3054,5,12372
366,3056,5,12374
367,305A,5,12378
368,306A,5,12394
369,308A,5,12426
370,3092,5,12434
371,3094,5,12436
372,3096,5,12438
373,309A,5,12442
374,30A2,5,12450
375,30A4,5,12452
376,30A6,5,12454
377,30A8,5,12456
378,30AC,5,12460
379,30AE,5,12462
380,30B2,5,12466
381,30B6,5,12470
382,30BA,5,12474
383,30D2,5,12498
384,30D4,5,12500
385,30D6,5,12502
386,30DA,5,12506
387,30EA,5,12522
388,310A,5,12554
389,3112,5,12562
390,3114,5,12564
391,3116,5,12566
392,3122,5,12578
393,3124,5,12580
394,3126,5,12582
395,3128,5,12584
396,312C,5,12588
397,312E,5,12590
398,3132,5,12594
399,3134,5,12596
400,3136,5,12598
401,313A,5,12602
402,3142,5,12610
403,3144,5,12612
404,3148,5,12616
405,314C,5,12620
406,314E,5,12622
407,3150,5,12624
408,3158,5,12632
409,315C,5,12636
410,3162,5,12642
411,3164,5,12644
412,3166,5,12646
413,3168,5,12648
414,316E,5,12654
415,3172,5,12658
416,3174,5,12660
417,3176,5,12662
418,317A,5,12666
419,318A,5,12682
420,3192,5,12690
421,3196,5,12694
422,319A,5,12698
423,31A2,5,12706
424,31A4,5,12708
425,31A6,5,12710
426,31A8,5,12712
427,31AC,5,12716
428,31AE,5,12718
429,31B2,5,12722
430,31B6,5,12726
431,31BA,5,12730
432,31CA,5,12746
433,31D2,5,12754
434,31D4,5,12756
435,31D6,5,12758
436,31DA,5,12762
437,31EA,5,12778
438,320A,5,12810
439,3212,5,12818
440,3214,5,12820
441,3216,5,12822
442,321A,5,12826
443,3222,5,12834
444,3224,5,12836
445,3226,5,12838
446,3228,5,12840
447,322C,5,12844
448,322E,5,12846
449,3232,5,12850
450,3236,5,12854
451,323A,5,12858
452,3242,5,12866
453,3244,5,12868
454,3246,5,12870
455,3248,5,12872
456,324C,5,12876
457,324E,5,12878
458,3250,5,12880
459,3258,5,12888
460,325C,5,12892
461,325E,5,12894
462,3262,5,12898
463,3264,5,12900
464,3266,5,12902
465,3268,5,12904
466,326C,5,12908
467,326E,5,12910
468,3272,5,12914
469,3274,5,12916
470,327A,5,12922
471,3286,5,12934
472,3288,5,12936
473,328C,5,12940
474,328E,5,12942
475,3290,5,12944
476,3298,5,12952
477,329C,5,12956
478,329E,5,12958
479,32A0,5,12960
480,32B0,5,12976
481,32B8,5,12984
482,32BC,5,12988
483,32BE,5,12990
484,32C2,5,12994
485,32C6,5,12998
486,32C8,5,13000
487,32CC,5,13004
488,32CE,5,13006
489,32D0,5,13008
490,32D8,5,13016
491,32DC,5,13020
492,32DE,5,13022
493,32E2,5,13026
494,32E4,5,13028
495,32E6,5,13030
496,32E8,5,13032
497,32EC,5,13036
498,32EE,5,13038
499,32F2,5,13042
500,32F4,5,13044
501,32F6,5,13046
502,32FA,5,13050
503,330A,5,13066
504,3312,5,13074
505,3314,5,13076
506,3316,5,13078
507,331A,5,13082
508,3322,5,13090
509,3324,5,13092
510,3326,5,13094
511,3328,5,13096
512,332C,5,13100
513,332E,5,13102
514,3332,5,13106
515,3334,5,13108
516,3336,5,13110
517,333A,5,13114
518,3342,5,13122
519,3344,5,13124
520,3346,5,13126
521,3348,5,13128
522,334C,5,13132
523,334E,5,13134
524,3358,5,13144
525,335C,5,13148
526,335E,5,13150
527,3364,5,13156
528,3366,5,13158
529,3368,5,13160
530,336C,5,13164
531,3374,5,13172
532,3376,5,13174
533,338A,5,13194
534,3392,5,13202
535,3394,5,13204
536,3396,5,13206
537,339A,5,13210
538,33A2,5,13218
539,33A6,5,13222
540,33A8,5,13224
541,33AC,5,13228
542,33AE,5,13230
543,33B2,5,13234
544,33B4,5,13236
545,33B6,5,13238
546,33BA,5,13242
547,33CA,5,13258
548,33D2,5,13266
549,33D4,5,13268
550,33D6,5,13270
551,33DA,5,13274
552,33EA,5,13290
553,340A,5,13322
554,3412,5,13330
555,3414,5,13332
556,3416,5,13334
557,341A,5,13338
558,3422,5,13346
559,3424,5,13348
560,3426,5,13350
561,3428,5,13352
562,342C,5,13356
563,342E,5,13358
564,3432,5,13362
565,3434,5,13364
566,3436,5,13366
567,343A,5,13370
568,3442,5,13378
569,3444,5,13380
570,3446,5,13382
571,3448,5,13384
572,344C,5,13388
573,344E,5,13390
574,3450,5,13392
575,345C,5,13404
576,345E,5,13406
577,3462,5,13410
578,3464,5,13412
579,3466,5,13414
580,3468,5,13416
581,346C,5,13420
582,346E,5,13422
583,3472,5,13426
584,3474,5,13428
585,3476,5,13430
586,347A,5,13434
587,3482,5,13442
588,3484,5,13444
589,3486,5,13446
590,3488,5,13448
591,348C,5,13452
592,348E,5,13454
593,3490,5,13456
594,3498,5,13464
595,349C,5,13468
596,349E,5,13470
597,34A0,5,13472
598,34B0,5,13488
599,34B8,5,13496
600,34BC,5,13500
601,34BE,5,13502
602,34C2,5,13506
603,34C4,5,13508
604,34C6,5,13510
605,34CE,5,13518
606,34D0,5,13520
607,34D8,5,13528
608,34DC,5,13532
609,34DE,5,13534
610,34E2,5,13538
611,34E4,5,13540
612,34E6,5,13542
613,34E8,5,13544
614,34EC,5,13548
615,34EE,5,13550
616,34F2,5,13554
617,34F4,5,13556
618,34F6,5,13558
619,34FA,5,13562
620,3502,5,13570
621,3504,5,13572
622,3506,5,13574
623,3508,5,13576
624,350C,5,13580
625,3510,5,13584
626,3518,5,13592
627,351C,5,13596
628,3520,5,13600
629,3530,5,13616
630,3538,5,13624
631,353C,5,13628
632,353E,5,13630
633,3540,5,13632
634,3560,5,13664
635,3570,5,13680
636,3578,5,13688
637,357C,5,13692
638,357E,5,13694
639,3582,5,13698
640,3584,5,13700
641,3586,5,13702
642,3588,5,13704
643,358C,5,13708
644,3590,5,13712
645,3598,5,13720
646,359C,5,13724
647,359E,5,13726
648,35A0,5,13728
649,35B0,5,13744
650,35B8,5,13752
651,35BC,5,13756
652,35BE,5,13758
653,35C2,5,13762
654,35C4,5,13764
655,35C6,5,13766
656,35C8,5,13768
657,35CC,5,13772
658,35CE,5,13774
659,35D0,5,13776
660,35D8,5,13784
661,35DC,5,13788
662,35DE,5,13790
663,35E2,5,13794
664,35E4,5,13796
665,35E8,5,13800
666,35EC,5,13804
667,35EE,5,13806
668,35F2,5,13810
669,35F4,5,13812
670,35F6,5,13814
671,35FA,5,13818
672,360A,5,13834
673,3612,5,13842
674,3614,5,13844
675,3616,5,13846
676,361A,5,13850
677,3622,5,13858
678,3624,5,13860
679,3628,5,13864
680,362C,5,13868
681,362E,5,13870
682,3634,5,13876
683,3636,5,13878
684,363A,5,13882
685,3642,5,13890
686,3644,5,13892
687,3646,5,13894
688,3648,5,13896
689,364C,5,13900
690,3650,5,13904
691,3658,5,13912
692,365C,5,13916
693,365E,5,13918
694,3662,5,13922
695,3664,5,13924
696,3666,5,13926
697,3668,5,13928
698,366C,5,13932
699,3672,5,13938
700,367A,5,13946
701,3682,5,13954
702,3684,5,13956
703,3686,5,13958
704,3688,5,13960
705,368C,5,13964
706,368E,5,13966
707,3690,5,13968
708,3698,5,13976
709,369C,5,13980
710,369E,5,13982
711,36A0,5,13984
712,36B0,5,14000
713,36B8,5,14008
714,36BC,5,14012
715,36BE,5,14014
716,36C2,5,14018
717,36C4,5,14020
718,36C6,5,14022
719,36C8,5,14024
720,36CC,5,14028
721,36D0,5,14032
722,36D8,5,14040
723,36DA,5,14042
724,36DC,5,14044
725,36DE,5,14046
726,36E2,5,14050
727,36E4,5,14052
728,36E6,5,14054
729,36E8,5,14056
730,36EC,5,14060
731,36F2,5,14066
732,36F4,5,14068
733,36F6,5,14070
734,370A,5,14090
735,3712,5,14098
736,3714,5,14100
737,371A,5,14106
738,3722,5,14114
739,3724,5,14116
740,3726,5,14118
741,3728,5,14120
742,372C,5,14124
743,372E,5,14126
744,3732,5,14130
745,3734,5,14132
746,3736,5,14134
747,373A,5,14138
748,3742,5,14146
749,3744,5,14148
750,3746,5,14150
751,3748,5,14152
752,374C,5,14156
753,374E,5,14158
754,3750,5,14160
755,3758,5,14168
756,375C,5,14172
757,375E,5,14174
758,3762,5,14178
759,3764,5,14180
760,3766,5,14182
761,3768,5,14184
762,376C,5,14188
763,376E,5,14190
764,3772,5,14194
765,3774,5,14196
766,3776,5,14198
767,377A,5,14202
768,3792,5,14226
769,3794,5,14228
770,3796,5,14230
771,379A,5,14234
772,37A2,5,14242
773,37A4,5,14244
774,37A6,5,14246
775,37A8,5,14248
776,37AC,5,14252
777,37AE,5,14254
778,37B2,5,14258
779,37B4,5,14260
780,37B6,5,14262
781,37BA,5,14266
782,37CA,5,14282
783,37D2,5,14290
784,37D4,5,14292
785,37D6,5,14294
786,37DA,5,14298
787,37EA,5,14314
788,382A,5,14378
789,384A,5,14410
790,3852,5,14418
791,3854,5,14420
792,3856,5,14422
793,385A,5,14426
794,386A,5,14442
795,388A,5,14474
796,3892,5,14482
797,38A2,5,14498
798,38A6,5,14502
799,38CA,5,14538
800,38DA,5,14554
801,38EC,5,14572
802,3922,5,14626
803,398A,5,14730
804,3992,5,14738
805,39DA,5,14810
806,3A14,5,14868
807,3A4C,5,14924
808,3A98,5,15000
809,3AA0,5,15008
