TagID_Hex,PRI,Weight,blah1,blah2
2324,5.00,0.30,,
238A,5.00,0.30,,
23A2,5.00,0.30,,
242E,5.00,0.30,,
245E,5.00,0.30,,
248E,5.00,0.30,,
24C8,5.00,0.30,,
24E8,5.00,0.30,,
250E,5.00,0.30,,
257C,5.00,0.30,,
2584,5.00,0.30,,
25C4,5.00,0.30,,
25DE,5.00,0.30,,
25F4,5.00,0.30,,
25F6,5.00,0.30,,
261A,5.00,0.30,,
2664,5.00,0.30,,
2666,5.00,0.30,,
2668,5.00,0.30,,
266C,5.00,0.30,,
266E,5.00,0.30,,
2672,5.00,0.30,,
2674,5.00,0.30,,
2676,5.00,0.30,,
267A,5.00,0.30,,
2682,5.00,0.30,,
2684,5.00,0.30,,
2686,5.00,0.30,,
2688,5.00,0.30,,
268C,5.00,0.30,,
268E,5.00,0.30,,
2690,5.00,0.30,,
2698,5.00,0.30,,
269C,5.00,0.30,,
269E,5.00,0.30,,
26A0,5.00,0.30,,
26B0,5.00,0.30,,
26B8,5.00,0.30,,
26BC,5.00,0.30,,
26C2,5.00,0.30,,
26C8,5.00,0.30,,
26CC,5.00,0.30,,
26CE,5.00,0.30,,
26D0,5.00,0.30,,
26DC,5.00,0.30,,
26DE,5.00,0.30,,
26E2,5.00,0.30,,
26E4,5.00,0.30,,
26E6,5.00,0.30,,
26EC,5.00,0.30,,
26EE,5.00,0.30,,
26F2,5.00,0.30,,
26F4,5.00,0.30,,
26F6,5.00,0.30,,
26FA,5.00,0.30,,
270A,5.00,0.30,,
2712,5.00,0.30,,
2714,5.00,0.30,,
271A,5.00,0.30,,
2724,5.00,0.30,,
2726,5.00,0.30,,
2728,5.00,0.30,,
272C,5.00,0.30,,
272E,5.00,0.30,,
2732,5.00,0.30,,
2734,5.00,0.30,,
2736,5.00,0.30,,
273A,5.00,0.30,,
2744,5.00,0.30,,
2746,5.00,0.30,,
2748,5.00,0.30,,
274E,5.00,0.30,,
2750,5.00,0.30,,
2758,5.00,0.30,,
275E,5.00,0.30,,
2762,5.00,0.30,,
2764,5.00,0.30,,
2766,5.00,0.30,,
2768,5.00,0.30,,
276C,5.00,0.30,,
276E,5.00,0.30,,
2772,5.00,0.30,,
2774,5.00,0.30,,
2776,5.00,0.30,,
277A,5.00,0.30,,
278A,5.00,0.30,,
2792,5.00,0.30,,
2794,5.00,0.30,,
2796,5.00,0.30,,
279A,5.00,0.30,,
27A2,5.00,0.30,,
27A4,5.00,0.30,,
27A6,5.00,0.30,,
27A8,5.00,0.30,,
27AC,5.00,0.30,,
27AE,5.00,0.30,,
27B2,5.00,0.30,,
27B4,5.00,0.30,,
27B6,5.00,0.30,,
27B8,5.00,0.30,,
27BA,5.00,0.30,,
27CA,5.00,0.30,,
27D2,5.00,0.30,,
27D4,5.00,0.30,,
27D6,5.00,0.30,,
27DA,5.00,0.30,,
27EA,5.00,0.30,,
280A,5.00,0.30,,
2812,5.00,0.30,,
2814,5.00,0.30,,
2816,5.00,0.30,,
281A,5.00,0.30,,
2822,5.00,0.30,,
2824,5.00,0.30,,
2826,5.00,0.30,,
2828,5.00,0.30,,
282C,5.00,0.30,,
282E,5.00,0.30,,
2832,5.00,0.30,,
2836,5.00,0.30,,
283A,5.00,0.30,,
2842,5.00,0.30,,
2844,5.00,0.30,,
2846,5.00,0.30,,
2848,5.00,0.30,,
284C,5.00,0.30,,
284E,5.00,0.30,,
2850,5.00,0.30,,
2858,5.00,0.30,,
285C,5.00,0.30,,
285E,5.00,0.30,,
2864,5.00,0.30,,
2868,5.00,0.30,,
286C,5.00,0.30,,
286E,5.00,0.30,,
2872,5.00,0.30,,
2874,5.00,0.30,,
2876,5.00,0.30,,
287A,5.00,0.30,,
2882,5.00,0.30,,
2884,5.00,0.30,,
2886,5.00,0.30,,
2888,5.00,0.30,,
288C,5.00,0.30,,
288E,5.00,0.30,,
2890,5.00,0.30,,
2898,5.00,0.30,,
289C,5.00,0.30,,
289E,5.00,0.30,,
28B0,5.00,0.30,,
28BC,5.00,0.30,,
28BE,5.00,0.30,,
28C2,5.00,0.30,,
28C6,5.00,0.30,,
28C8,5.00,0.30,,
28CC,5.00,0.30,,
28CE,5.00,0.30,,
28D0,5.00,0.30,,
28D8,5.00,0.30,,
28DC,5.00,0.30,,
28DE,5.00,0.30,,
28E2,5.00,0.30,,
28E4,5.00,0.30,,
28E6,5.00,0.30,,
28E8,5.00,0.30,,
28EC,5.00,0.30,,
28EE,5.00,0.30,,
28F2,5.00,0.30,,
28F6,5.00,0.30,,
28FA,5.00,0.30,,
2902,5.00,0.30,,
2904,5.00,0.30,,
2906,5.00,0.30,,
2908,5.00,0.30,,
290C,5.00,0.30,,
290E,5.00,0.30,,
2918,5.00,0.30,,
291C,5.00,0.30,,
291E,5.00,0.30,,
2920,5.00,0.30,,
2930,5.00,0.30,,
2938,5.00,0.30,,
293C,5.00,0.30,,
293E,5.00,0.30,,
2940,5.00,0.30,,
2960,5.00,0.30,,
2970,5.00,0.30,,
2978,5.00,0.30,,
297C,5.00,0.30,,
297E,5.00,0.30,,
2982,5.00,0.30,,
2984,5.00,0.30,,
2986,5.00,0.30,,
2988,5.00,0.30,,
298C,5.00,0.30,,
298E,5.00,0.30,,
2990,5.00,0.30,,
2998,5.00,0.30,,
299C,5.00,0.30,,
29A0,5.00,0.30,,
29B0,5.00,0.30,,
29B8,5.00,0.30,,
2A06,5.00,0.30,,
2A0C,5.00,0.30,,
2A3E,5.00,0.30,,
2B84,5.00,0.30,,
2BC8,5.00,0.30,,
2BFA,5.00,0.30,,
2C12,5.00,0.30,,
2C36,5.00,0.30,,
2C82,5.00,0.30,,
2C9C,5.00,0.30,,
2CA0,5.00,0.30,,
2D38,5.00,0.30,,
2D8C,5.00,0.30,,
2D8E,5.00,0.30,,
2D90,5.00,0.30,,
2D98,5.00,0.30,,
2D9C,5.00,0.30,,
2D9E,5.00,0.30,,
2DA0,5.00,0.30,,
2DB0,5.00,0.30,,
2DB8,5.00,0.30,,
2DBC,5.00,0.30,,
2DBE,5.00,0.30,,
2DC2,5.00,0.30,,
2DC4,5.00,0.30,,
2DC6,5.00,0.30,,
2DC8,5.00,0.30,,
2DCC,5.00,0.30,,
2DCE,5.00,0.30,,
2DD0,5.00,0.30,,
2DD8,5.00,0.30,,
2DDC,5.00,0.30,,
2DDE,5.00,0.30,,
2DE2,5.00,0.30,,
2DE4,5.00,0.30,,
2DE6,5.00,0.30,,
2DE8,5.00,0.30,,
2DEC,5.00,0.30,,
2DEE,5.00,0.30,,
2DF2,5.00,0.30,,
2DF4,5.00,0.30,,
2DF6,5.00,0.30,,
2DFA,5.00,0.30,,
2E0A,5.00,0.30,,
2E12,5.00,0.30,,
2E1A,5.00,0.30,,
2E22,5.00,0.30,,
2E24,5.00,0.30,,
2E26,5.00,0.30,,
2E28,5.00,0.30,,
2E2C,5.00,0.30,,
2E32,5.00,0.30,,
2E34,5.00,0.30,,
2E36,5.00,0.30,,
2E3A,5.00,0.30,,
2E42,5.00,0.30,,
2E44,5.00,0.30,,
2E46,5.00,0.30,,
2E48,5.00,0.30,,
2E4C,5.00,0.30,,
2E4E,5.00,0.30,,
2E50,5.00,0.30,,
2E58,5.00,0.30,,
2E5C,5.00,0.30,,
2E5E,5.00,0.30,,
2E62,5.00,0.30,,
2E64,5.00,0.30,,
2E66,5.00,0.30,,
2E6C,5.00,0.30,,
2E6E,5.00,0.30,,
2E74,5.00,0.30,,
2E76,5.00,0.30,,
2E7A,5.00,0.30,,
2E82,5.00,0.30,,
2E84,5.00,0.30,,
2E86,5.00,0.30,,
2E8C,5.00,0.30,,
2E8E,5.00,0.30,,
2E90,5.00,0.30,,
2E98,5.00,0.30,,
2E9C,5.00,0.30,,
2E9E,5.00,0.30,,
2EA0,5.00,0.30,,
2EB0,5.00,0.30,,
2EB8,5.00,0.30,,
2EBC,5.00,0.30,,
2EBE,5.00,0.30,,
2EC2,5.00,0.30,,
2EC4,5.00,0.30,,
2EC6,5.00,0.30,,
2EC8,5.00,0.30,,
2ECC,5.00,0.30,,
2ECE,5.00,0.30,,
2ED0,5.00,0.30,,
2ED8,5.00,0.30,,
2EDC,5.00,0.30,,
2EDE,5.00,0.30,,
2EE2,5.00,0.30,,
2EE4,5.00,0.30,,
2EE6,5.00,0.30,,
2EE8,5.00,0.30,,
2EEC,5.00,0.30,,
2EEE,5.00,0.30,,
2EF2,5.00,0.30,,
2EF4,5.00,0.30,,
2EF6,5.00,0.30,,
2EFA,5.00,0.30,,
2F0A,5.00,0.30,,
2F12,5.00,0.30,,
2F14,5.00,0.30,,
2F16,5.00,0.30,,
2F22,5.00,0.30,,
2F24,5.00,0.30,,
2F26,5.00,0.30,,
2F28,5.00,0.30,,
2F2C,5.00,0.30,,
2F2E,5.00,0.30,,
2F32,5.00,0.30,,
2F34,5.00,0.30,,
2F36,5.00,0.30,,
2F3A,5.00,0.30,,
2F42,5.00,0.30,,
2F44,5.00,0.30,,
2F46,5.00,0.30,,
2F48,5.00,0.30,,
2F4C,5.00,0.30,,
2F4E,5.00,0.30,,
2F50,5.00,0.30,,
2F58,5.00,0.30,,
2F5C,5.00,0.30,,
2F5E,5.00,0.30,,
2F62,5.00,0.30,,
2F66,5.00,0.30,,
2F68,5.00,0.30,,
2F6C,5.00,0.30,,
2F6E,5.00,0.30,,
2F72,5.00,0.30,,
2F74,5.00,0.30,,
2F7A,5.00,0.30,,
2F8A,5.00,0.30,,
2F92,5.00,0.30,,
2F94,5.00,0.30,,
2F96,5.00,0.30,,
2F9A,5.00,0.30,,
2FA2,5.00,0.30,,
2FA4,5.00,0.30,,
2FA8,5.00,0.30,,
2FAC,5.00,0.30,,
2FAE,5.00,0.30,,
2FB2,5.00,0.30,,
2FB4,5.00,0.30,,
2FB6,5.00,0.30,,
2FBA,5.00,0.30,,
2FCA,5.00,0.30,,
2FD2,5.00,0.30,,
2FD4,5.00,0.30,,
2FD6,5.00,0.30,,
2FDA,5.00,0.30,,
2FEA,5.00,0.30,,
302A,5.00,0.30,,
304A,5.00,0.30,,
3052,5.00,0.30,,
3054,5.00,0.30,,
3056,5.00,0.30,,
305A,5.00,0.30,,
306A,5.00,0.30,,
308A,5.00,0.30,,
3092,5.00,0.30,,
3094,5.00,0.30,,
3096,5.00,0.30,,
309A,5.00,0.30,,
30A2,5.00,0.30,,
30A4,5.00,0.30,,
30A6,5.00,0.30,,
30A8,5.00,0.30,,
30AC,5.00,0.30,,
30AE,5.00,0.30,,
30B2,5.00,0.30,,
30B6,5.00,0.30,,
30BA,5.00,0.30,,
30D2,5.00,0.30,,
30D4,5.00,0.30,,
30D6,5.00,0.30,,
30DA,5.00,0.30,,
30EA,5.00,0.30,,
310A,5.00,0.30,,
3112,5.00,0.30,,
3114,5.00,0.30,,
3116,5.00,0.30,,
3122,5.00,0.30,,
3124,5.00,0.30,,
3126,5.00,0.30,,
3128,5.00,0.30,,
312C,5.00,0.30,,
312E,5.00,0.30,,
3132,5.00,0.30,,
3134,5.00,0.30,,
3136,5.00,0.30,,
313A,5.00,0.30,,
3142,5.00,0.30,,
3144,5.00,0.30,,
3148,5.00,0.30,,
314C,5.00,0.30,,
314E,5.00,0.30,,
3150,5.00,0.30,,
3158,5.00,0.30,,
315C,5.00,0.30,,
3162,5.00,0.30,,
3164,5.00,0.30,,
3166,5.00,0.30,,
3168,5.00,0.30,,
316E,5.00,0.30,,
3172,5.00,0.30,,
3174,5.00,0.30,,
3176,5.00,0.30,,
317A,5.00,0.30,,
318A,5.00,0.30,,
3192,5.00,0.30,,
3196,5.00,0.30,,
319A,5.00,0.30,,
31A2,5.00,0.30,,
31A4,5.00,0.30,,
31A6,5.00,0.30,,
31A8,5.00,0.30,,
31AC,5.00,0.30,,
31AE,5.00,0.30,,
31B2,5.00,0.30,,
31B6,5.00,0.30,,
31BA,5.00,0.30,,
31CA,5.00,0.30,,
31D2,5.00,0.30,,
31D4,5.00,0.30,,
31D6,5.00,0.30,,
31DA,5.00,0.30,,
31EA,5.00,0.30,,
320A,5.00,0.30,,
3212,5.00,0.30,,
3214,5.00,0.30,,
3216,5.00,0.30,,
321A,5.00,0.30,,
3222,5.00,0.30,,
3224,5.00,0.30,,
3226,5.00,0.30,,
3228,5.00,0.30,,
322C,5.00,0.30,,
322E,5.00,0.30,,
3232,5.00,0.30,,
3236,5.00,0.30,,
323A,5.00,0.30,,
3242,5.00,0.30,,
3244,5.00,0.30,,
3246,5.00,0.30,,
3248,5.00,0.30,,
324C,5.00,0.30,,
324E,5.00,0.30,,
3250,5.00,0.30,,
3258,5.00,0.30,,
325C,5.00,0.30,,
325E,5.00,0.30,,
3262,5.00,0.30,,
3264,5.00,0.30,,
3266,5.00,0.30,,
3268,5.00,0.30,,
326C,5.00,0.30,,
326E,5.00,0.30,,
3272,5.00,0.30,,
3274,5.00,0.30,,
327A,5.00,0.30,,
3286,5.00,0.30,,
3288,5.00,0.30,,
328C,5.00,0.30,,
328E,5.00,0.30,,
3290,5.00,0.30,,
3298,5.00,0.30,,
329C,5.00,0.30,,
329E,5.00,0.30,,
32A0,5.00,0.30,,
32B0,5.00,0.30,,
32B8,5.00,0.30,,
32BC,5.00,0.30,,
32BE,5.00,0.30,,
32C2,5.00,0.30,,
32C6,5.00,0.30,,
32C8,5.00,0.30,,
32CC,5.00,0.30,,
32CE,5.00,0.30,,
32D0,5.00,0.30,,
32D8,5.00,0.30,,
32DC,5.00,0.30,,
32DE,5.00,0.30,,
32E2,5.00,0.30,,
32E4,5.00,0.30,,
32E6,5.00,0.30,,
32E8,5.00,0.30,,
32EC,5.00,0.30,,
32EE,5.00,0.30,,
32F2,5.00,0.30,,
32F4,5.00,0.30,,
32F6,5.00,0.30,,
32FA,5.00,0.30,,
330A,5.00,0.30,,
3312,5.00,0.30,,
3314,5.00,0.30,,
3316,5.00,0.30,,
331A,5.00,0.30,,
3322,5.00,0.30,,
3324,5.00,0.30,,
3326,5.00,0.30,,
3328,5.00,0.30,,
332C,5.00,0.30,,
332E,5.00,0.30,,
3332,5.00,0.30,,
3334,5.00,0.30,,
3336,5.00,0.30,,
333A,5.00,0.30,,
3342,5.00,0.30,,
3344,5.00,0.30,,
3346,5.00,0.30,,
3348,5.00,0.30,,
334C,5.00,0.30,,
334E,5.00,0.30,,
3358,5.00,0.30,,
335C,5.00,0.30,,
335E,5.00,0.30,,
3364,5.00,0.30,,
3366,5.00,0.30,,
3368,5.00,0.30,,
336C,5.00,0.30,,
3374,5.00,0.30,,
3376,5.00,0.30,,
338A,5.00,0.30,,
3392,5.00,0.30,,
3394,5.00,0.30,,
3396,5.00,0.30,,
339A,5.00,0.30,,
33A2,5.00,0.30,,
33A6,5.00,0.30,,
33A8,5.00,0.30,,
33AC,5.00,0.30,,
33AE,5.00,0.30,,
33B2,5.00,0.30,,
33B4,5.00,0.30,,
33B6,5.00,0.30,,
33BA,5.00,0.30,,
33CA,5.00,0.30,,
33D2,5.00,0.30,,
33D4,5.00,0.30,,
33D6,5.00,0.30,,
33DA,5.00,0.30,,
33EA,5.00,0.30,,
340A,5.00,0.30,,
3412,5.00,0.30,,
3414,5.00,0.30,,
3416,5.00,0.30,,
341A,5.00,0.30,,
3422,5.00,0.30,,
3424,5.00,0.30,,
3426,5.00,0.30,,
3428,5.00,0.30,,
342C,5.00,0.30,,
342E,5.00,0.30,,
3432,5.00,0.30,,
3434,5.00,0.30,,
3436,5.00,0.30,,
343A,5.00,0.30,,
3442,5.00,0.30,,
3444,5.00,0.30,,
3446,5.00,0.30,,
3448,5.00,0.30,,
344C,5.00,0.30,,
344E,5.00,0.30,,
3450,5.00,0.30,,
345C,5.00,0.30,,
345E,5.00,0.30,,
3462,5.00,0.30,,
3464,5.00,0.30,,
3466,5.00,0.30,,
3468,5.00,0.30,,
346C,5.00,0.30,,
346E,5.00,0.30,,
3472,5.00,0.30,,
3474,5.00,0.30,,
3476,5.00,0.30,,
347A,5.00,0.30,,
3482,5.00,0.30,,
3484,5.00,0.30,,
3486,5.00,0.30,,
3488,5.00,0.30,,
348C,5.00,0.30,,
348E,5.00,0.30,,
3490,5.00,0.30,,
3498,5.00,0.30,,
349C,5.00,0.30,,
349E,5.00,0.30,,
34A0,5.00,0.30,,
34B0,5.00,0.30,,
34B8,5.00,0.30,,
34BC,5.00,0.30,,
34BE,5.00,0.30,,
34C2,5.00,0.30,,
34C4,5.00,0.30,,
34C6,5.00,0.30,,
34CE,5.00,0.30,,
34D0,5.00,0.30,,
34D8,5.00,0.30,,
34DC,5.00,0.30,,
34DE,5.00,0.30,,
34E2,5.00,0.30,,
34E4,5.00,0.30,,
34E6,5.00,0.30,,
34E8,5.00,0.30,,
34EC,5.00,0.30,,
34EE,5.00,0.30,,
34F2,5.00,0.30,,
34F4,5.00,0.30,,
34F6,5.00,0.30,,
34FA,5.00,0.30,,
3502,5.00,0.30,,
3504,5.00,0.30,,
3506,5.00,0.30,,
3508,5.00,0.30,,
350C,5.00,0.30,,
3510,5.00,0.30,,
3518,5.00,0.30,,
351C,5.00,0.30,,
3520,5.00,0.30,,
3530,5.00,0.30,,
3538,5.00,0.30,,
353C,5.00,0.30,,
353E,5.00,0.30,,
3540,5.00,0.30,,
3560,5.00,0.30,,
3570,5.00,0.30,,
3578,5.00,0.30,,
357C,5.00,0.30,,
357E,5.00,0.30,,
3582,5.00,0.30,,
3584,5.00,0.30,,
3586,5.00,0.30,,
3588,5.00,0.30,,
358C,5.00,0.30,,
3590,5.00,0.30,,
3598,5.00,0.30,,
359C,5.00,0.30,,
359E,5.00,0.30,,
35A0,5.00,0.30,,
35B0,5.00,0.30,,
35B8,5.00,0.30,,
35BC,5.00,0.30,,
35BE,5.00,0.30,,
35C2,5.00,0.30,,
35C4,5.00,0.30,,
35C6,5.00,0.30,,
35C8,5.00,0.30,,
35CC,5.00,0.30,,
35CE,5.00,0.30,,
35D0,5.00,0.30,,
35D8,5.00,0.30,,
35DC,5.00,0.30,,
35DE,5.00,0.30,,
35E2,5.00,0.30,,
35E4,5.00,0.30,,
35E8,5.00,0.30,,
35EC,5.00,0.30,,
35EE,5.00,0.30,,
35F2,5.00,0.30,,
35F4,5.00,0.30,,
35F6,5.00,0.30,,
35FA,5.00,0.30,,
360A,5.00,0.30,,
3612,5.00,0.30,,
3614,5.00,0.30,,
3616,5.00,0.30,,
361A,5.00,0.30,,
3622,5.00,0.30,,
3624,5.00,0.30,,
3628,5.00,0.30,,
362C,5.00,0.30,,
362E,5.00,0.30,,
3634,5.00,0.30,,
3636,5.00,0.30,,
363A,5.00,0.30,,
3642,5.00,0.30,,
3644,5.00,0.30,,
3646,5.00,0.30,,
3648,5.00,0.30,,
364C,5.00,0.30,,
3650,5.00,0.30,,
3658,5.00,0.30,,
365C,5.00,0.30,,
365E,5.00,0.30,,
3662,5.00,0.30,,
3664,5.00,0.30,,
3666,5.00,0.30,,
3668,5.00,0.30,,
366C,5.00,0.30,,
3672,5.00,0.30,,
367A,5.00,0.30,,
3682,5.00,0.30,,
3684,5.00,0.30,,
3686,5.00,0.30,,
3688,5.00,0.30,,
368C,5.00,0.30,,
368E,5.00,0.30,,
3690,5.00,0.30,,
3698,5.00,0.30,,
369C,5.00,0.30,,
369E,5.00,0.30,,
36A0,5.00,0.30,,
36B0,5.00,0.30,,
36B8,5.00,0.30,,
36BC,5.00,0.30,,
36BE,5.00,0.30,,
36C2,5.00,0.30,,
36C4,5.00,0.30,,
36C6,5.00,0.30,,
36C8,5.00,0.30,,
36CC,5.00,0.30,,
36D0,5.00,0.30,,
36D8,5.00,0.30,,
36DA,5.00,0.30,,
36DC,5.00,0.30,,
36DE,5.00,0.30,,
36E2,5.00,0.30,,
36E4,5.00,0.30,,
36E6,5.00,0.30,,
36E8,5.00,0.30,,
36EC,5.00,0.30,,
36F2,5.00,0.30,,
36F4,5.00,0.30,,
36F6,5.00,0.30,,
370A,5.00,0.30,,
3712,5.00,0.30,,
3714,5.00,0.30,,
371A,5.00,0.30,,
3722,5.00,0.30,,
3724,5.00,0.30,,
3726,5.00,0.30,,
3728,5.00,0.30,,
372C,5.00,0.30,,
372E,5.00,0.30,,
3732,5.00,0.30,,
3734,5.00,0.30,,
3736,5.00,0.30,,
373A,5.00,0.30,,
3742,5.00,0.30,,
3744,5.00,0.30,,
3746,5.00,0.30,,
3748,5.00,0.30,,
374C,5.00,0.30,,
374E,5.00,0.30,,
3750,5.00,0.30,,
3758,5.00,0.30,,
375C,5.00,0.30,,
375E,5.00,0.30,,
3762,5.00,0.30,,
3764,5.00,0.30,,
3766,5.00,0.30,,
3768,5.00,0.30,,
376C,5.00,0.30,,
376E,5.00,0.30,,
3772,5.00,0.30,,
3774,5.00,0.30,,
3776,5.00,0.30,,
377A,5.00,0.30,,
3792,5.00,0.30,,
3794,5.00,0.30,,
3796,5.00,0.30,,
379A,5.00,0.30,,
37A2,5.00,0.30,,
37A4,5.00,0.30,,
37A6,5.00,0.30,,
37A8,5.00,0.30,,
37AC,5.00,0.30,,
37AE,5.00,0.30,,
37B2,5.00,0.30,,
37B4,5.00,0.30,,
37B6,5.00,0.30,,
37BA,5.00,0.30,,
37CA,5.00,0.30,,
37D2,5.00,0.30,,
37D4,5.00,0.30,,
37D6,5.00,0.30,,
37DA,5.00,0.30,,
37EA,5.00,0.30,,
382A,5.00,0.30,,
384A,5.00,0.30,,
3852,5.00,0.30,,
3854,5.00,0.30,,
3856,5.00,0.30,,
385A,5.00,0.30,,
386A,5.00,0.30,,
388A,5.00,0.30,,
3892,5.00,0.30,,
38A2,5.00,0.30,,
38A6,5.00,0.30,,
38CA,5.00,0.30,,
38DA,5.00,0.30,,
38EC,5.00,0.30,,
3922,5.00,0.30,,
398A,5.00,0.30,,
3992,5.00,0.30,,
39DA,5.00,0.30,,
3A14,5.00,0.30,,
3A4C,5.00,0.30,,
3A98,5.00,0.30,,
3AA0,5.00,0.30,,
